cluster_id,convex_hull
50.0,"[[45.747929, 4.841967], [45.748602, 4.841827], [45.749122, 4.842427], [45.749752, 4.843951], [45.748869, 4.845571], [45.746862, 4.846558], [45.745988, 4.845919], [45.74504, 4.844988], [45.746458, 4.843383]]"
51.0,"[[45.762688, 4.767637], [45.76898, 4.756474], [45.770333, 4.766166], [45.768361, 4.767519]]"
52.0,"[[45.761261, 4.825394], [45.761692, 4.826259], [45.761348, 4.827042], [45.761288, 4.827128], [45.761146, 4.827235], [45.760932, 4.827182], [45.760427, 4.827032], [45.76009, 4.826881], [45.760352, 4.826474], [45.760861, 4.825737], [45.761056, 4.825465]]"
53.0,"[[45.735444, 4.872298], [45.7341, 4.86989], [45.734822, 4.868138], [45.737039, 4.86587], [45.740428, 4.867848], [45.740638, 4.868019], [45.739922, 4.86941]]"
54.0,"[[45.7625, 4.805555], [45.766772, 4.811422], [45.766445, 4.812891], [45.765247, 4.812483], [45.76305, 4.811416], [45.762403, 4.811046], [45.761175, 4.809488], [45.760963, 4.808591], [45.761294, 4.807633]]"
55.0,"[[45.752462, 4.870998], [45.751369, 4.869299], [45.75138, 4.86841], [45.751613, 4.86703], [45.754143, 4.863499], [45.755144, 4.86366], [45.755965, 4.866471], [45.756366, 4.870319]]"
56.0,"[[45.83747, 4.805295], [45.833102, 4.79988], [45.833297, 4.79978], [45.840419, 4.803273], [45.838544, 4.804647]]"
57.0,"[[45.666665, 4.888615], [45.663958, 4.893155], [45.665668, 4.885997]]"
58.0,"[[45.765791, 4.875113], [45.766902, 4.873163], [45.767829, 4.873321], [45.770516, 4.874271], [45.771362, 4.876191], [45.771369, 4.876502], [45.768234, 4.877447], [45.766677, 4.87678]]"
59.0,"[[45.698116, 4.956955], [45.710322, 4.950108], [45.712412, 4.964532], [45.706666, 4.966388], [45.7035, 4.966166], [45.701152, 4.96589]]"
60.0,"[[45.768533, 4.83879], [45.767127, 4.838316], [45.767122, 4.838311], [45.766759, 4.837471], [45.766725, 4.83724], [45.766752, 4.837216], [45.767762, 4.836881], [45.767934, 4.836826], [45.768301, 4.83672], [45.769417, 4.836773], [45.769453, 4.837342], [45.769333, 4.838], [45.769166, 4.838333], [45.768694, 4.83878]]"
61.0,"[[45.838629, 4.90606], [45.847058, 4.909755], [45.842418, 4.914665], [45.838225, 4.917022], [45.831983, 4.918363], [45.836475, 4.906783]]"
62.0,"[[45.811166, 4.762833], [45.817202, 4.758391], [45.822166, 4.7585], [45.824612, 4.761028], [45.81685, 4.764219]]"
63.0,"[[45.791166, 4.841972], [45.793086, 4.837816], [45.793347, 4.837425], [45.793575, 4.837474], [45.801774, 4.841194], [45.797735, 4.843887], [45.796164, 4.844434], [45.794306, 4.844023], [45.791263, 4.84233]]"
64.0,"[[45.753675, 4.895224], [45.763039, 4.894634], [45.763024, 4.89472], [45.758784, 4.901533], [45.75719, 4.901334], [45.75441, 4.897271]]"
65.0,"[[45.757064, 4.856294], [45.757613, 4.855484], [45.758102, 4.85493], [45.759068, 4.853843], [45.759828, 4.854165], [45.76074, 4.854623], [45.760861, 4.855163], [45.76083, 4.855638], [45.760667, 4.856622], [45.760277, 4.856944], [45.759213, 4.85724]]"
66.0,"[[45.783859, 4.989273], [45.781781, 4.992389], [45.776729, 4.991707], [45.7725, 4.987986], [45.781651, 4.98732], [45.78174, 4.987385]]"
67.0,"[[45.776173, 4.834842], [45.775208, 4.835937], [45.774856, 4.835904], [45.774497, 4.835808], [45.773547, 4.835507], [45.773245, 4.83468], [45.773378, 4.834279], [45.773629, 4.834091], [45.774411, 4.833519], [45.774526, 4.833486], [45.774717, 4.833518], [45.774931, 4.833573], [45.775829, 4.834038], [45.776099, 4.834606]]"
68.0,"[[45.723768, 4.765512], [45.719566, 4.759215], [45.721618, 4.759966], [45.722486, 4.760513], [45.724269, 4.761861]]"
69.0,"[[45.714808, 4.812977], [45.713888, 4.808333], [45.713888, 4.808055], [45.715049, 4.807859], [45.719544, 4.807844], [45.719744, 4.808025], [45.719481, 4.809945], [45.718016, 4.81288], [45.716491, 4.81298]]"
70.0,"[[45.727536, 4.826747], [45.726472, 4.823534], [45.728254, 4.822354], [45.729783, 4.822344], [45.731833, 4.823666], [45.73295, 4.824597], [45.733611, 4.825277], [45.734027, 4.825908], [45.734144, 4.826172], [45.73405, 4.826641], [45.731467, 4.827777], [45.730499, 4.828], [45.729875, 4.827883]]"
