cluster_id,convex_hull
194.0,"[[45.718105, 4.894488], [45.717927, 4.894355], [45.717886, 4.89423], [45.717869, 4.894144], [45.717872, 4.894047], [45.71788, 4.893936], [45.718027, 4.893752], [45.718125, 4.893763], [45.718205, 4.893838], [45.718211, 4.893855], [45.718122, 4.894455]]"
195.0,"[[45.718002, 4.894672], [45.7181, 4.894591], [45.718033, 4.894711], [45.718022, 4.894727], [45.718002, 4.894713]]"
196.0,
197.0,"[[45.735721, 4.893894], [45.7379, 4.890536], [45.745305, 4.892542], [45.73645, 4.896439]]"
198.0,"[[45.765611, 4.794402], [45.765291, 4.791822], [45.765808, 4.791908], [45.768897, 4.794377]]"
199.0,"[[45.721221, 4.879367], [45.720833, 4.880833], [45.720517, 4.880794], [45.719958, 4.878786], [45.719969, 4.878677], [45.719994, 4.878661]]"
200.0,"[[45.72218, 4.854269], [45.722955, 4.852145], [45.724994, 4.853899], [45.724861, 4.854152]]"
201.0,
202.0,
203.0,"[[45.7208, 4.875308], [45.720841, 4.875172], [45.721184, 4.875472], [45.720952, 4.87544]]"
204.0,"[[45.721184, 4.875472], [45.721433, 4.8757], [45.721416, 4.875826], [45.721296, 4.875751]]"
205.0,"[[45.76378, 4.900417], [45.762583, 4.90355], [45.760457, 4.902681], [45.758784, 4.901533], [45.758574, 4.90135], [45.757044, 4.89973], [45.756606, 4.896871], [45.758002, 4.896962]]"
206.0,"[[45.733954, 4.848425], [45.735874, 4.857008], [45.734837, 4.857845], [45.732333, 4.858991], [45.732272, 4.858977], [45.732115, 4.85881], [45.730797, 4.857319], [45.729425, 4.854519], [45.732138, 4.850219]]"
207.0,"[[45.728487, 4.875129], [45.725333, 4.875333], [45.725, 4.875], [45.723186, 4.871499], [45.723, 4.871], [45.725342, 4.870698]]"
208.0,"[[45.756402, 4.79679], [45.756475, 4.798364], [45.75592, 4.80057], [45.755588, 4.79953], [45.755688, 4.79793]]"
209.0,"[[45.749162, 4.803278], [45.749167, 4.802833], [45.749333, 4.802833], [45.7495, 4.803], [45.7495, 4.803167], [45.749463, 4.803463], [45.749431, 4.803541], [45.749259, 4.803646], [45.749218, 4.803517]]"
210.0,"[[45.749027, 4.802524], [45.749003, 4.802593], [45.748934, 4.80262], [45.748916, 4.802589], [45.748877, 4.802347], [45.748981, 4.802464]]"
211.0,"[[45.715289, 4.81405], [45.715502, 4.80885], [45.717844, 4.809988], [45.71835, 4.814736], [45.718308, 4.815348], [45.717401, 4.815262], [45.715394, 4.814769]]"
212.0,"[[45.713166, 4.803], [45.714819, 4.801324], [45.716111, 4.802777], [45.714344, 4.806656], [45.714298, 4.80669], [45.713166, 4.803999]]"
213.0,"[[45.719722, 4.831388], [45.717911, 4.833512], [45.718312, 4.832932]]"
214.0,"[[45.788809, 4.878133], [45.78799, 4.88015], [45.787846, 4.880043], [45.787682, 4.878628], [45.788399, 4.878294]]"
215.0,"[[45.795869, 4.8466], [45.796538, 4.847983], [45.793908, 4.850549], [45.793531, 4.850206], [45.794267, 4.848528]]"
216.0,"[[45.799041, 4.849294], [45.801402, 4.850827], [45.799847, 4.851241]]"
217.0,"[[45.798649, 4.845697], [45.798999, 4.844831], [45.799281, 4.845636], [45.7993, 4.84577], [45.799488, 4.847211], [45.799347, 4.84715]]"
218.0,"[[45.785494, 4.885935], [45.786038, 4.887591], [45.785998, 4.887966], [45.785552, 4.888455], [45.784233, 4.887899], [45.784241, 4.88742], [45.784958, 4.886019]]"
219.0,"[[45.797566, 4.843152], [45.797858, 4.842625], [45.798058, 4.843019], [45.798008, 4.84323], [45.7979, 4.843466], [45.797566, 4.843244]]"
220.0,"[[45.797344, 4.843694], [45.797597, 4.843427], [45.797735, 4.843887], [45.797558, 4.843891], [45.797397, 4.843801]]"
221.0,"[[45.796097, 4.829058], [45.79594, 4.829725], [45.795474, 4.829427], [45.795386, 4.829305], [45.795663, 4.828888]]"
222.0,"[[45.797213, 4.829975], [45.797358, 4.830913], [45.797271, 4.831613], [45.796493, 4.832482], [45.796003, 4.83246], [45.795933, 4.832402], [45.795963, 4.831297], [45.795988, 4.83115], [45.796475, 4.830216], [45.796568, 4.830111]]"
223.0,"[[45.797799, 4.829778], [45.798469, 4.829322], [45.798888, 4.829444], [45.798888, 4.829722]]"
224.0,"[[45.797313, 4.841902], [45.79723, 4.842136], [45.797138, 4.842088], [45.7971, 4.841902], [45.797077, 4.841749], [45.79713, 4.841594], [45.797261, 4.841791]]"
